"","...1","sensor_ID","date_collected","AQI","temperature","County","stcofips","omb","medinc","unemp","pz","day_number"
"374",374,3050,2022-03-16,27.426,77.333,"Cumberland",37051,"Urban center","Middle income","Moderate unemployment","Sandhills",75
"375",375,25561,2022-03-11,27.403,69.4,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"376",376,38917,2022-03-09,27.395,62.4,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",68
"377",377,55111,2022-03-18,27.315,82,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",77
"378",378,39969,2022-03-11,27.248,73.433,"Union",37179,"Urban center","Higher income","Lower unemployment","Southwest",70
"379",379,12703,2022-03-16,27.212,71.533,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",75
"380",380,47457,2022-03-03,27.21,89.433,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"381",381,757,2022-03-15,27.203,80.9,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",74
"382",382,38873,2022-03-15,27.168,75.067,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",74
"383",383,53383,2022-03-03,27.109,66.967,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",62
"384",384,47465,2022-03-11,27.031,63,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",70
"385",385,47495,2022-03-11,26.997,78.1,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",70
"386",386,7906,2022-03-16,26.981,78.567,"Duplin",37061,"Not urban","Lower income","Moderate unemployment","Southeast",75
"387",387,3050,2022-03-02,26.839,81.467,"Cumberland",37051,"Urban center","Middle income","Moderate unemployment","Sandhills",61
"388",388,55773,2022-03-12,26.812,61.4,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"389",389,12787,2022-03-03,26.781,99.5,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",62
"390",390,38917,2022-03-11,26.781,69,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",70
"391",391,47555,2022-03-12,26.767,65.133,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"392",392,12835,2022-03-11,26.748,74.433,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",70
"393",393,12689,2022-03-17,26.737,86.6,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",76
"394",394,38871,2022-03-05,26.704,78.7,"Iredell",37097,"Urban center","Higher income","Lower unemployment","Southwest",64
"395",395,12697,2022-03-01,26.693,70.967,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",60
"396",396,2873,2022-03-05,26.658,78.8,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",64
"397",397,47633,2022-03-03,26.65,86.467,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"398",398,47505,2022-03-11,26.619,71.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"399",399,47559,2022-03-06,26.574,91.6,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"400",400,47505,2022-03-19,26.545,86.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"401",401,15591,2022-03-02,26.541,83.7,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"402",402,47493,2022-03-15,26.541,84.586,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"403",403,47499,2022-03-02,26.44,85.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"404",404,57681,2022-03-19,26.34,82.833,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"405",405,1334,2022-03-18,26.287,66,"Macon",37113,"Not urban","Middle income","Lower unemployment","Western",77
"406",406,12823,2022-03-10,26.255,58.867,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",69
"407",407,6028,2022-03-11,26.245,71.267,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",70
"408",408,6022,2022-03-11,26.237,73.167,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",70
"409",409,12835,2022-03-01,26.069,77.7,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",60
"410",410,54093,2022-03-11,26,61.367,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",70
"411",411,31619,2022-03-02,25.986,80.966,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"412",412,57681,2022-03-15,25.981,74.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"413",413,28145,2022-03-05,25.979,74.2,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",64
"414",414,11184,2022-03-12,25.957,65.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"415",415,55773,2022-03-13,25.949,53.767,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",72
"416",416,47481,2022-03-12,25.856,63.9,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"417",417,12286,2022-03-02,25.855,80,"Brunswick",37019,"Urban center","Higher income","Moderate unemployment","Southeast",61
"418",418,1326,2022-03-04,25.846,78.133,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",63
"419",419,55773,2022-03-09,25.815,62.633,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"420",420,47481,2022-03-19,25.749,81.333,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"421",421,47615,2022-03-06,25.64,85.885,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",65
"422",422,38871,2022-03-16,25.609,66.933,"Iredell",37097,"Urban center","Higher income","Lower unemployment","Southwest",75
"423",423,5872,2022-03-03,25.605,85.933,"Chatham",37037,"Urban center","Higher income","Lower unemployment","North Central",62
"424",424,47595,2022-03-19,25.53,79.5,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",78
"425",425,12759,2022-03-15,25.475,86.167,"Guilford",37081,"Urban center","Higher income","Moderate unemployment","Piedmont Triad",74
"426",426,11184,2022-03-19,25.448,90.233,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"427",427,47499,2022-03-11,25.432,71.833,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"428",428,12823,2022-03-16,25.402,87.333,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",75
"429",429,1326,2022-03-07,25.394,77.433,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",66
"430",430,31261,2022-03-07,25.378,68.767,"Yancey",37199,"Not urban","Lower income","Lower unemployment","Northwest",66
"431",431,47499,2022-03-18,25.3,88.167,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"432",432,12689,2022-03-12,25.285,61.067,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",71
"433",433,47499,2022-03-09,25.278,72.967,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"434",434,15591,2022-03-19,25.26,83.367,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"435",435,15587,2022-03-11,25.232,76.367,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"436",436,47595,2022-03-13,25.23,54,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",72
"437",437,47481,2022-03-09,25.103,65.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"438",438,31619,2022-03-15,25.082,77.267,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"439",439,12286,2022-03-11,25.081,62.733,"Brunswick",37019,"Urban center","Higher income","Moderate unemployment","Southeast",70
"440",440,20809,2022-03-07,25.069,86.033,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",66
"441",441,47555,2022-03-09,25.046,66.767,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"442",442,3050,2022-03-05,25.023,79.967,"Cumberland",37051,"Urban center","Middle income","Moderate unemployment","Sandhills",64
"443",443,12689,2022-03-14,25.021,81.967,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",73
"444",444,52885,2022-03-15,24.994,77,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",74
"445",445,47459,2022-03-11,24.958,68.767,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"446",446,45621,2022-03-05,24.936,74,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",64
"447",447,47493,2022-03-01,24.914,80.833,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",60
"448",448,5988,2022-03-06,24.882,95.6,"Nash",37127,"Urban center","Middle income","Moderate unemployment","North Central",65
"449",449,5988,2022-03-15,24.872,88.733,"Nash",37127,"Urban center","Middle income","Moderate unemployment","North Central",74
"450",450,38873,2022-03-18,24.862,78.433,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",77
"451",451,12807,2022-03-18,24.86,98.267,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",77
"452",452,15587,2022-03-09,24.85,69.8,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"453",453,6022,2022-03-17,24.849,88.167,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",76
"454",454,47487,2022-03-12,24.841,62,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",71
"455",455,6020,2022-03-13,24.711,61.4,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",72
"456",456,28147,2022-03-19,24.693,84.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"457",457,47621,2022-03-12,24.671,62.333,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",71
"458",458,12689,2022-03-01,24.604,84.167,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",60
"459",459,6004,2022-03-05,24.577,84.433,"Transylvania",37175,"Urban center","Middle income","Lower unemployment","Western",64
"460",460,20809,2022-03-11,24.562,69.9,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",70
"461",461,54095,2022-03-12,24.541,64.2,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"462",462,38875,2022-03-08,24.519,80.967,"Pender",37141,"Urban outlying","Higher income","Moderate unemployment","Southeast",67
"463",463,47505,2022-03-12,24.511,64.867,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"464",464,12759,2022-03-06,24.489,88.833,"Guilford",37081,"Urban center","Higher income","Moderate unemployment","Piedmont Triad",65
"465",465,4329,2022-03-12,24.459,67.9,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"466",466,25561,2022-03-01,24.437,74.9,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",60
"467",467,28147,2022-03-12,24.357,63.1,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"468",468,57681,2022-03-12,24.336,64.6,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"469",469,47615,2022-03-05,24.285,77.733,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",64
"470",470,47633,2022-03-19,24.272,82.5,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"471",471,38917,2022-03-12,24.264,60,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",71
"472",472,47465,2022-03-12,24.254,62.267,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",71
"473",473,1334,2022-03-14,24.251,65.4,"Macon",37113,"Not urban","Middle income","Lower unemployment","Western",73
"474",474,15591,2022-03-11,24.242,68.2,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"475",475,47469,2022-03-15,24.194,75.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"476",476,28147,2022-03-15,24.149,78.733,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"477",477,6028,2022-03-17,24.105,86.4,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",76
"478",478,47555,2022-03-19,24.097,83.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"479",479,48745,2022-03-15,24.079,76.233,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",74
"480",480,11644,2022-03-03,24.076,90.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"481",481,47481,2022-03-18,24.047,89.2,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"482",482,11644,2022-03-14,24.021,73.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",73
"483",483,7906,2022-03-12,24.02,72.933,"Duplin",37061,"Not urban","Lower income","Moderate unemployment","Southeast",71
"484",484,25561,2022-03-15,24.011,76.3,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"485",485,57681,2022-03-18,24.008,81.733,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"486",486,47481,2022-03-01,23.998,80.667,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",60
"487",487,47555,2022-03-11,23.944,67.862,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"488",488,1326,2022-03-08,23.94,74.1,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",67
"489",489,37403,2022-03-12,23.934,64.267,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"490",490,15591,2022-03-09,23.919,69.8,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"491",491,47499,2022-03-12,23.863,71.233,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"492",492,12689,2022-03-07,23.842,80.233,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",66
"493",493,47495,2022-03-15,23.836,80.467,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",74
"494",494,54095,2022-03-11,23.794,70,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"495",495,1326,2022-03-15,23.779,71.167,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",74
"496",496,20521,2022-03-17,23.74,84.667,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",76
"497",497,31619,2022-03-18,23.699,82.833,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"498",498,38917,2022-03-10,23.69,54,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",69
"499",499,47469,2022-03-12,23.683,64.033,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"500",500,11190,2022-03-11,23.597,65.933,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"501",501,47499,2022-03-03,23.593,92.9,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"502",502,47505,2022-03-15,23.59,75.767,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"503",503,47633,2022-03-18,23.537,81.966,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"504",504,12721,2022-03-02,23.504,86.5,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",61
"505",505,15587,2022-03-19,23.504,88.333,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"506",506,6008,2022-03-07,23.476,85.033,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",66
"507",507,12747,2022-03-07,23.46,69.6,"Transylvania",37175,"Urban center","Middle income","Lower unemployment","Western",66
"508",508,47459,2022-03-15,23.414,80.667,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"509",509,47633,2022-03-15,23.414,75.233,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"510",510,1326,2022-03-18,23.414,72.267,"Haywood",37087,"Urban center","Middle income","Lower unemployment","Western",77
"511",511,37403,2022-03-15,23.39,79.233,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"512",512,6112,2022-03-08,23.388,89.233,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",67
"513",513,47617,2022-03-19,23.388,81.867,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"514",514,12807,2022-03-02,23.384,101.4,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",61
"515",515,6006,2022-03-08,23.373,77.967,"Gaston",37071,"Urban outlying","Middle income","Lower unemployment","Southwest",67
"516",516,12807,2022-03-11,23.358,76.133,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",70
"517",517,47487,2022-03-15,23.327,75.067,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",74
"518",518,12787,2022-03-10,23.298,65.367,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",69
"519",519,11644,2022-03-19,23.282,84.767,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"520",520,47469,2022-03-11,23.273,64.967,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"521",521,31261,2022-03-03,23.156,70.233,"Yancey",37199,"Not urban","Lower income","Lower unemployment","Northwest",62
"522",522,39969,2022-03-03,23.144,84.967,"Union",37179,"Urban center","Higher income","Lower unemployment","Southwest",62
"523",523,37403,2022-03-19,23.106,83.7,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"524",524,38871,2022-03-11,23.103,70.033,"Iredell",37097,"Urban center","Higher income","Lower unemployment","Southwest",70
"525",525,4329,2022-03-02,23.085,82.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"526",526,25561,2022-03-12,23.076,64.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"527",527,28147,2022-03-11,23.037,68.467,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"528",528,1334,2022-03-07,23.022,70.233,"Macon",37113,"Not urban","Middle income","Lower unemployment","Western",66
"529",529,47459,2022-03-12,23.022,65.4,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"530",530,47483,2022-03-15,22.964,82.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"531",531,47617,2022-03-12,22.95,62.333,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"532",532,47621,2022-03-01,22.938,68.767,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",60
"533",533,28145,2022-03-12,22.933,60.067,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",71
"534",534,6112,2022-03-12,22.93,73.833,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",71
"535",535,48745,2022-03-12,22.93,68.267,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",71
"536",536,4329,2022-03-15,22.919,77.833,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"537",537,15587,2022-03-18,22.911,84.533,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"538",538,31619,2022-03-12,22.89,63.767,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"539",539,15591,2022-03-15,22.879,80.333,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"540",540,52885,2022-03-12,22.832,62.267,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",71
"541",541,11190,2022-03-19,22.773,82.167,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"542",542,15587,2022-03-15,22.711,78.833,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"543",543,47477,2022-03-12,22.685,64.3,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"544",544,2873,2022-03-11,22.656,70.4,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",70
"545",545,6112,2022-03-11,22.644,79.133,"Stanly",37167,"Urban center","Middle income","Lower unemployment","Southwest",70
"546",546,55111,2022-03-10,22.638,59.133,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",69
"547",547,47555,2022-03-15,22.633,77.4,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"548",548,25561,2022-03-03,22.616,91.267,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"549",549,37403,2022-03-03,22.562,90.333,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
"550",550,57681,2022-03-17,22.527,72.967,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",76
"551",551,12721,2022-03-01,22.499,77.167,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",60
"552",552,11190,2022-03-15,22.475,76.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"553",553,55111,2022-03-13,22.424,54.9,"Hoke",37093,"Urban center","Middle income","Moderate unemployment","Sandhills",72
"554",554,12787,2022-03-06,22.404,94.467,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",65
"555",555,12807,2022-03-05,22.397,90.067,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",64
"556",556,38873,2022-03-11,22.394,66.5,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",70
"557",557,5872,2022-03-16,22.358,86.133,"Chatham",37037,"Urban center","Higher income","Lower unemployment","North Central",75
"558",558,12823,2022-03-06,22.351,94.4,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",65
"559",559,47495,2022-03-01,22.268,82.7,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",60
"560",560,54093,2022-03-12,22.255,60,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",71
"561",561,47499,2022-03-15,22.206,82.1,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"562",562,5988,2022-03-09,22.148,66.967,"Nash",37127,"Urban center","Middle income","Moderate unemployment","North Central",68
"563",563,11644,2022-03-09,22.086,69.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",68
"564",564,47495,2022-03-18,22.073,85,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",77
"565",565,47457,2022-03-12,22.043,65.367,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"566",566,54095,2022-03-19,22.03,88.033,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"567",567,48745,2022-03-18,21.979,84.1,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",77
"568",568,7906,2022-03-06,21.976,89.033,"Duplin",37061,"Not urban","Lower income","Moderate unemployment","Southeast",65
"569",569,47633,2022-03-02,21.96,78.5,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",61
"570",570,38873,2022-03-07,21.906,80.367,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",66
"571",571,47615,2022-03-19,21.858,83.875,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",78
"572",572,757,2022-03-12,21.857,64.9,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",71
"573",573,12867,2022-03-16,21.831,70.133,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",75
"574",574,5988,2022-03-02,21.769,96.033,"Nash",37127,"Urban center","Middle income","Moderate unemployment","North Central",61
"575",575,5988,2022-03-18,21.651,91.467,"Nash",37127,"Urban center","Middle income","Moderate unemployment","North Central",77
"576",576,3050,2022-03-11,21.589,68.733,"Cumberland",37051,"Urban center","Middle income","Moderate unemployment","Sandhills",70
"577",577,48745,2022-03-11,21.586,69.867,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",70
"578",578,7906,2022-03-11,21.583,70.467,"Duplin",37061,"Not urban","Lower income","Moderate unemployment","Southeast",70
"579",579,12807,2022-03-15,21.579,92.033,"Wayne",37191,"Urban center","Middle income","Moderate unemployment","Southeast",74
"580",580,47499,2022-03-19,21.566,89.067,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"581",581,15587,2022-03-12,21.525,66.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"582",582,11644,2022-03-11,21.519,68.167,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"583",583,48459,2022-03-07,21.512,77.333,"Buncombe",37021,"Urban center","Higher income","Lower unemployment","Western",66
"584",584,15591,2022-03-12,21.507,66.967,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"585",585,15591,2022-03-18,21.422,87.3,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",77
"586",586,12787,2022-03-11,21.398,79.867,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",70
"587",587,47621,2022-03-15,21.375,75.133,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",74
"588",588,31619,2022-03-11,21.347,66,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",70
"589",589,38873,2022-03-02,21.316,79.467,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",61
"590",590,31619,2022-03-19,21.285,83.267,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",78
"591",591,12835,2022-03-12,21.227,63.933,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",71
"592",592,12867,2022-03-03,21.22,88.067,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",62
"593",593,12867,2022-03-04,21.204,78,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",63
"594",594,47465,2022-03-15,21.187,74.667,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",74
"595",595,12835,2022-03-14,21.183,75.667,"Lincoln",37109,"Urban outlying","Higher income","Lower unemployment","Southwest",73
"596",596,11180,2022-03-06,21.16,71,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",65
"597",597,12759,2022-03-16,21.117,84.6,"Guilford",37081,"Urban center","Higher income","Moderate unemployment","Piedmont Triad",75
"598",598,48459,2022-03-18,21.117,72.2,"Buncombe",37021,"Urban center","Higher income","Lower unemployment","Western",77
"599",599,6008,2022-03-18,21.101,82.8,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",77
"600",600,54093,2022-03-02,21.089,75.967,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",61
"601",601,52885,2022-03-03,21.072,89.867,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",62
"602",602,54095,2022-03-15,21.057,89.567,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"603",603,39969,2022-03-09,21.039,74.867,"Union",37179,"Urban center","Higher income","Lower unemployment","Southwest",68
"604",604,38917,2022-03-01,21.007,70,"Caswell",37033,"Not urban","Middle income","Moderate unemployment","Piedmont Triad",60
"605",605,39969,2022-03-10,20.98,72.5,"Union",37179,"Urban center","Higher income","Lower unemployment","Southwest",69
"606",606,20809,2022-03-10,20.957,62.5,"Mecklenburg",37119,"Urban center","Higher income","Lower unemployment","Southwest",69
"607",607,47621,2022-03-11,20.941,64.033,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",70
"608",608,12823,2022-03-01,20.927,89.233,"Edgecombe",37065,"Urban center","Lower income","Higher unemployment","North Central",60
"609",609,12689,2022-03-04,20.901,76.4,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",63
"610",610,6020,2022-03-15,20.857,69.367,"Cherokee",37039,"Not urban","Middle income","Moderate unemployment","Western",74
"611",611,47477,2022-03-15,20.828,80.133,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",74
"612",612,12689,2022-03-02,20.767,89.7,"Wilkes",37193,"Urban center","Middle income","Lower unemployment","Northwest",61
"613",613,11190,2022-03-12,20.766,65.467,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",71
"614",614,6008,2022-03-01,20.746,78.567,"Forsyth",37067,"Urban center","Higher income","Lower unemployment","Piedmont Triad",60
"615",615,47487,2022-03-11,20.705,63.267,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",70
